Take,Piece,N,Label SD,SD,J1,J2,D1,D2,J1 Dens,J2 Dens,D1 Dens,D2 Dens,Jembe 1,Jembe 2,Dundun 1,Dundun 2
Maraka_1,Maraka,3,13|7,7,24.125,24.123,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|8,8,24.292,,24.283,,4,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|9,9,,24.389,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|10,10,,24.546,24.54,,4,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|11,11,,,,,3.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,13|12,12,,24.796,24.803,,3.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|1,1,24.954,24.956,24.959,,4,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|2,2,25.126,,,,4.5,4.5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|3,3,25.241,25.228,25.231,,4.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|4,4,25.367,25.373,,,5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|5,5,25.545,,25.524,,5.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|6,6,,25.639,,,5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|7,7,25.778,25.802,,,5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|8,8,25.949,,25.956,,5,5,3,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|9,9,,26.058,,,5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|10,10,26.194,26.213,26.203,,5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|11,11,,,,,4.5,5,3.5,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,14|12,12,26.463,26.454,26.465,,5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|1,1,26.609,26.622,26.625,,5.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|2,2,,,,,5.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
Maraka_1,Maraka,3,15|3,3,,26.884,26.899,,5.5,5,4,,Drissa Kone,Sedu Balo,Madu Jakite,
