"Piece","Label.SD","SD","Clave_.","Section","Clave","Bass","Guitar","Tres","Bongo","Bell","Cajon","Conga","Trumpet","Cl_Dens","Bs_Dens","Gt_Dens","Tr_Dens","Bn_Dens","Bl_Dens","Cj_Dens","Cn_Dens","Tm_Dens","CycleTime","Cycle","Isochronous.SD.Time"
"Song_2","29:1",1,"1","Son",102.579861,NA,102.555097,NA,102.552265,NA,NA,NA,NA,2,NA,5,NA,4.5,NA,NA,NA,NA,102.582,29,102.582
"Song_2","29:2",2,"N","Son",NA,NA,102.777879,NA,102.769044,NA,NA,NA,NA,NA,NA,5,NA,4.5,NA,NA,NA,NA,NA,29,102.8000625
"Song_2","29:3",3,"N","Son",NA,NA,102.981443,NA,102.993958,NA,NA,NA,NA,NA,NA,5,NA,4.5,NA,NA,NA,NA,NA,29,103.018125
"Song_2","29:4",4,"2","Son",103.216686,NA,103.233046,103.220699,103.230325,NA,NA,NA,NA,2.5,NA,5,1,4.5,NA,NA,NA,NA,NA,29,103.2361875
"Song_2","29:5",5,"N","Son",NA,103.433647,NA,NA,103.440148,NA,NA,NA,NA,NA,1.5,NA,NA,5,NA,NA,NA,NA,NA,29,103.45425
"Song_2","29:6",6,"N","Son",NA,NA,103.628329,NA,103.660853,NA,NA,NA,NA,NA,NA,4.5,NA,5,NA,NA,NA,NA,NA,29,103.6723125
"Song_2","29:7",7,"3","Son",103.876421,103.849282,103.836157,103.866918,103.863993,NA,NA,NA,NA,1.5,1.5,4.5,1.5,5,NA,NA,NA,NA,NA,29,103.890375
"Song_2","29:8",8,"N","Son",NA,NA,104.076673,104.099839,104.101038,NA,NA,NA,NA,NA,NA,4.5,2,5,NA,NA,NA,NA,NA,29,104.1084375
"Song_2","29:9",9,"N","Son",NA,NA,104.321477,NA,104.320016,NA,NA,NA,NA,NA,NA,4.5,NA,5,NA,NA,NA,NA,NA,29,104.3265
"Song_2","29:10",10,"N","Son",NA,NA,104.525868,104.509928,104.543598,NA,NA,NA,NA,NA,NA,4.5,2,5,NA,NA,NA,NA,NA,29,104.5445625
"Song_2","29:11",11,"4","Son",104.76873,NA,104.743719,NA,104.753956,NA,NA,NA,NA,1.5,NA,4.5,NA,5,NA,NA,NA,NA,NA,29,104.762625
"Song_2","29:12",12,"N","Son",NA,NA,104.984759,104.940016,104.977635,NA,NA,NA,NA,NA,NA,4,2.5,5,NA,NA,NA,NA,NA,29,104.9806875
"Song_2","29:13",13,"5","Son",105.216693,105.225325,105.17592,NA,105.199213,NA,NA,NA,NA,1.5,1.5,4.5,NA,5,NA,NA,NA,NA,NA,29,105.19875
"Song_2","29:14",14,"N","Son",NA,NA,NA,NA,105.421194,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,29,105.4168125
"Song_2","29:15",15,"N","Son",NA,105.649807,105.607983,105.600735,105.615688,NA,NA,NA,NA,NA,1.5,4.5,2.5,5,NA,NA,NA,NA,NA,29,105.634875
"Song_2","29:16",16,"N","Son",NA,NA,105.894763,105.841335,105.846992,NA,NA,NA,NA,NA,NA,4,3,5,NA,NA,NA,NA,NA,29,105.8529375
"Song_2","30:1",1,"1","Son",106.071311,NA,106.080441,NA,106.072412,NA,NA,NA,NA,1.5,NA,4,NA,5,NA,NA,NA,NA,106.071,30,106.071
"Song_2","30:2",2,"N","Son",NA,NA,106.282324,106.273264,106.288895,NA,NA,NA,NA,NA,NA,4.5,2.5,5,NA,NA,NA,NA,NA,30,106.29225
"Song_2","30:3",3,"N","Son",NA,NA,106.50023,NA,106.507821,NA,NA,NA,NA,NA,NA,4.5,NA,5,NA,NA,NA,NA,NA,30,106.5135
"Song_2","30:4",4,"2","Son",106.733556,NA,106.718578,106.724866,106.728709,NA,NA,NA,NA,2,NA,4.5,2.5,5,NA,NA,NA,NA,NA,30,106.73475
"Song_2","30:5",5,"N","Son",NA,106.9424,106.951983,NA,106.961079,NA,NA,NA,NA,NA,1.5,4.5,NA,5,NA,NA,NA,NA,NA,30,106.956
"Song_2","30:6",6,"N","Son",NA,NA,107.154809,NA,107.206867,NA,NA,NA,NA,NA,NA,4.5,NA,4.5,NA,NA,NA,NA,NA,30,107.17725
"Song_2","30:7",7,"3","Son",107.397749,107.375378,107.361237,NA,107.403356,NA,NA,NA,NA,1.5,1.5,4.5,NA,5.5,NA,NA,NA,NA,NA,30,107.3985
"Song_2","30:8",8,"N","Son",NA,NA,107.601793,107.606356,107.628842,NA,NA,NA,NA,NA,NA,5,2,5,NA,NA,NA,NA,NA,30,107.61975
"Song_2","30:9",9,"N","Son",NA,NA,107.85482,NA,107.846224,NA,NA,NA,NA,NA,NA,5,NA,5.5,NA,NA,NA,NA,NA,30,107.841
"Song_2","30:10",10,"N","Son",NA,NA,108.075891,108.058248,108.057448,NA,NA,NA,NA,NA,NA,5,2,5.5,NA,NA,NA,NA,NA,30,108.06225
"Song_2","30:11",11,"4","Son",108.284952,NA,108.324668,NA,108.268281,NA,NA,NA,NA,1.5,NA,4.5,NA,5.5,NA,NA,NA,NA,NA,30,108.2835
"Song_2","30:12",12,"N","Son",NA,NA,108.503643,108.516053,108.490241,NA,NA,NA,NA,NA,NA,4.5,2,5.5,NA,NA,NA,NA,NA,30,108.50475
"Song_2","30:13",13,"5","Son",108.729006,108.725266,108.764872,NA,108.720891,NA,NA,NA,NA,2,1.5,4.5,NA,5.5,NA,NA,NA,NA,NA,30,108.726
"Song_2","30:14",14,"N","Son",NA,NA,NA,NA,108.944363,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,30,108.94725
"Song_2","30:15",15,"N","Son",NA,109.14905,109.180854,NA,NA,NA,NA,NA,NA,NA,1.5,4,NA,NA,NA,NA,NA,NA,NA,30,109.1685
"Song_2","30:16",16,"N","Son",NA,NA,109.43171,109.395194,109.398081,NA,NA,NA,NA,NA,NA,4,2,4.5,NA,NA,NA,NA,NA,30,109.38975
"Song_2","31:1",1,"1","Son",109.611159,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,109.611,31,109.611
"Song_2","31:2",2,"N","Son",NA,NA,109.82139,109.834483,109.860995,NA,NA,NA,NA,NA,NA,4,2,3.5,NA,NA,NA,NA,NA,31,109.831875
"Song_2","31:3",3,"N","Son",NA,NA,110.051353,NA,110.076795,NA,NA,NA,NA,NA,NA,4,NA,3.5,NA,NA,NA,NA,NA,31,110.05275
"Song_2","31:4",4,"2","Son",110.262526,NA,110.289529,NA,110.312714,NA,NA,NA,NA,2,NA,4,NA,3.5,NA,NA,NA,NA,NA,31,110.273625
"Song_2","31:5",5,"N","Son",NA,110.479478,110.509278,NA,110.513681,NA,NA,NA,NA,NA,1.5,3.5,NA,3.5,NA,NA,NA,NA,NA,31,110.4945
"Song_2","31:6",6,"N","Son",NA,NA,110.720828,NA,110.714366,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,31,110.715375
"Song_2","31:7",7,"3","Son",110.925721,110.89079,110.926564,110.921427,110.927336,NA,NA,NA,NA,1.5,1.5,4,2,4,NA,NA,NA,NA,NA,31,110.93625
"Song_2","31:8",8,"N","Son",NA,NA,111.173318,111.162165,111.149522,NA,NA,NA,NA,NA,NA,4.5,2.5,4,NA,NA,NA,NA,NA,31,111.157125
"Song_2","31:9",9,"N","Son",NA,NA,111.392924,NA,111.370755,NA,NA,NA,NA,NA,NA,4.5,NA,4.5,NA,NA,NA,NA,NA,31,111.378
"Song_2","31:10",10,"N","Son",NA,NA,111.599167,111.598459,NA,NA,NA,NA,NA,NA,NA,4.5,2.5,NA,NA,NA,NA,NA,NA,31,111.598875
"Song_2","31:11",11,"4","Son",111.802667,NA,111.819895,NA,111.799305,NA,NA,NA,NA,1.5,NA,5,NA,4.5,NA,NA,NA,NA,NA,31,111.81975
"Song_2","31:12",12,"N","Son",NA,NA,112.036145,112.053234,112.031282,NA,NA,NA,NA,NA,NA,5,2.5,4.5,NA,NA,NA,NA,NA,31,112.040625
"Song_2","31:13",13,"5","Son",112.261342,112.240072,112.26432,NA,112.248123,NA,NA,NA,NA,2,1.5,5,NA,4.5,NA,NA,NA,NA,NA,31,112.2615
"Song_2","31:14",14,"N","Son",NA,NA,112.474285,NA,112.480968,NA,NA,NA,NA,NA,NA,5,NA,4.5,NA,NA,NA,NA,NA,31,112.482375
"Song_2","31:15",15,"N","Son",NA,112.676,112.671346,112.671912,112.684872,NA,NA,NA,NA,NA,1.5,5,2.5,4.5,NA,NA,NA,NA,NA,31,112.70325
"Song_2","31:16",16,"N","Son",NA,NA,112.939962,112.905276,112.90892,NA,NA,NA,NA,NA,NA,4.5,3,4.5,NA,NA,NA,NA,NA,31,112.924125
"Song_2","32:1",1,"1","Son",113.145333,NA,113.138173,NA,NA,NA,NA,NA,NA,1.5,NA,5,NA,NA,NA,NA,NA,NA,113.145,32,113.145
"Song_2","32:2",2,"N","Son",NA,NA,113.361895,113.372434,113.353421,NA,NA,NA,NA,NA,NA,5,2.5,4,NA,NA,NA,NA,NA,32,113.3649375
"Song_2","32:3",3,"N","Son",NA,NA,113.579754,NA,113.570107,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,32,113.584875
"Song_2","32:4",4,"2","Son",113.821194,NA,113.822906,NA,113.80643,NA,NA,NA,NA,1.5,NA,4.5,NA,4,NA,NA,NA,NA,NA,32,113.8048125
