Cycle,Time
53.4,103.3974104
54.1,103.8594104
54.2,104.3360771
54.3,104.8054104
54.4,105.2694104
55.1,105.7480771
55.2,106.2254104
55.3,106.6974104
55.4,107.1612854
56.1,107.6387438
56.2,108.1054104
56.3,108.5844104
56.4,109.0475354
57.1,109.5107438
57.2,109.9867438
57.3,110.4494104
57.4,110.9131604
58.1,111.3800771
58.2,111.8467438
58.3,112.3062854
58.4,112.7694104
59.1,113.2344104
59.2,113.6974104
59.3,114.1662854
59.4,114.6240771
60.1,115.0850354
60.2,115.5350354
60.3,116.0131604
60.4,116.4760771
61.1,116.9507438
61.2,117.4187438
61.3,117.8774104
61.4,118.3667438
62.1,118.8227438
62.2,119.3040771
62.3,119.7600771
62.4,120.2294104
63.1,120.6974104
63.2,121.1525354
63.3,121.6200771
63.4,122.0862854
64.1,122.5550354
64.2,123.0214104
64.3,123.4962854
64.4,123.9627438
65.1,124.4254104
65.2,124.8934104
65.3,125.3640771
65.4,125.8294104
66.1,126.2934104
66.2,126.7606604
66.3,127.2347438
66.4,127.7039938
67.1,128.1614104
67.2,128.6347438
67.3,129.1062854
67.4,129.5667438
68.1,130.0427438
68.2,130.5027438
68.3,130.9680771
68.4,131.4312854
69.1,131.9040771
69.2,132.3600771
69.3,132.8267438
69.4,133.3194104
70.1,133.7734104
70.2,134.2414104
70.3,134.7080771
70.4,135.1814104
71.1,135.6444104
71.2,136.1150354
71.3,136.5800354
71.4,137.0657438
72.1,137.5280771
72.2,137.9960771
72.3,138.4606604
72.4,138.9240771
73.1,139.3869104
73.2,139.8494104
73.3,140.3054104
73.4,140.7747438
74.1,141.2375354
74.2,141.7014104
74.3,142.1627438
74.4,142.6325354
75.1,143.0894104
75.2,143.5606604
75.3,144.0125354
75.4,144.4831604
76.1,144.9462854
76.2,145.4112854
76.3,145.8800354
76.4,146.3450354
77.1,146.8080771
77.2,147.2825354
77.3,147.7480771
77.4,148.2219104
78.1,148.6775354
78.2,149.1500354
78.3,149.6160771
78.4,150.0827438
79.1,150.5587438
79.2,151.0347438
79.3,151.5069104
79.4,151.9667438
80.1,152.4519104
80.2,152.9320771
80.3,153.3974104
80.4,153.8760771
81.1,154.3531188
81.2,154.8214104
81.3,155.2962854
81.4,155.7574104
82.1,156.2320771
82.2,156.7137854
82.3,157.1800771
82.4,157.6512854
83.1,158.1219104
83.2,158.5987438
83.3,159.0680771
83.4,159.5414104
84.1,160.0212854
84.2,160.4800771
84.3,160.9512854
84.4,161.4219104
85.1,161.8880771
85.2,162.3587438
85.3,162.8240771
85.4,163.3000771
86.1,163.7581604
86.2,164.2325354
86.3,164.6880771
86.4,165.1606604
87.1,165.6144104
87.2,166.0840771
87.3,166.5467438
87.4,167.0225354
88.1,167.4819104
88.2,167.9375354
88.3,168.4025354
88.4,168.8844104
89.1,169.3427438
89.2,169.8276396
89.3,170.2907438
89.4,170.7695563
90.1,171.2244104
90.2,171.7040563
90.3,172.1614104
90.4,172.6360771
91.1,173.0960771
91.2,173.5606604
91.3,174.0312854
91.4,174.4981604
92.1,174.9600771
92.2,175.4267438
92.3,175.8894104
92.4,176.3581604
93.1,176.8194104
93.2,177.2987438
93.3,177.7625354
93.4,178.2374104
94.1,178.7014104
94.2,179.1654104
94.3,179.6300354
94.4,180.0969104
95.1,180.5640771
95.2,181.0240771
95.3,181.4960771
95.4,181.9625354
96.1,182.4334104
96.2,182.9000771
96.3,183.3706604
96.4,183.8387438
97.1,184.3081604
97.2,184.7694104
97.3,185.2347438
97.4,185.7120771
98.1,186.1654104
98.2,186.6267438
98.3,187.0869104
98.4,187.5481604
99.1,187.9981604
99.2,188.4654104
99.3,188.9262854
99.4,189.3934104
100.1,189.8627438
100.2,190.3254104
100.3,190.7844104
100.4,191.2640771
101.1,191.7285146
101.2,192.1894104
101.3,192.6725354
101.4,193.1394104
102.1,193.6174104
102.2,194.0840771
102.3,194.5494104
102.4,195.0307438
103.1,195.5027438
103.2,195.9706604
103.3,196.4414104
103.4,196.9119104
104.1,197.3920771
104.2,197.8656813
104.3,198.3387438
104.4,198.8027438
105.1,199.2814104
105.2,199.7600771
105.3,200.2250354
105.4,200.6854104
106.1,201.1475354
106.2,201.6162854
106.3,202.0962854
106.4,202.5800771
107.1,203.0627438
107.2,203.5467438
107.3,204.0254104
107.4,204.4907438
108.1,204.9612854
108.2,205.4174104
108.3,205.8867438
108.4,206.3525354
109.1,206.8147438
109.2,207.2825354
109.3,207.7440771
109.4,208.2087854
110.1,208.6640771
110.2,209.1307438
110.3,209.5867438
110.4,210.0519104
111.1,210.5037854
111.2,210.9687854
111.3,211.4174104
111.4,211.8781604
112.1,212.3440771
112.2,212.8000771
112.3,213.2469104
112.4,213.7094104
113.1,214.1675354
113.2,214.6227438
113.3,215.0712854
113.4,215.5269104
114.1,215.9800771
114.2,216.4362854
114.3,216.8919104
114.4,217.3494104
115.1,217.8106604
115.2,218.2737854
115.3,218.7267438
115.4,219.2094104
116.1,219.6950354
116.2,220.1560771
116.3,220.6226604
116.4,221.0894104
117.1,221.5587438
117.2,222.0262854
117.3,222.4814104
117.4,222.9560771
118.1,223.4370771
118.2,223.9062854
118.3,224.3947438
118.4,224.8667438
119.1,225.3494104
119.2,225.8280771
119.3,226.3113896
119.4,226.7827438
120.1,227.2787438
